Compiler,Library,C,Method,Seconds,Ratio
Win-Clang-16.0.5,std,forward_list n:10000000,total,0.871,1.000
Win-Clang-16.0.5,STC,forward_list n:10000000,insert,0.267,0.954
Win-Clang-16.0.5,STC,forward_list n:10000000,erase,0.185,1.028
Win-Clang-16.0.5,STC,forward_list n:10000000,access,0.000,1.000
Win-Clang-16.0.5,STC,forward_list n:10000000,iter,0.225,0.991
Win-Clang-16.0.5,STC,forward_list n:10000000,destruct,0.181,0.984
Win-Clang-16.0.5,STC,forward_list n:10000000,total,0.858,0.985
Win-Clang-16.0.5,std,unordered_map n:2000000,insert,0.292,1.000
Win-Clang-16.0.5,std,unordered_map n:2000000,erase,0.261,1.000
Win-Clang-16.0.5,std,unordered_map n:2000000,access,0.075,1.000
Win-Clang-16.0.5,std,unordered_map n:2000000,iter,0.308,1.000
Win-Clang-16.0.5,std,unordered_map n:2000000,destruct,0.112,1.000
Win-Clang-16.0.5,std,unordered_map n:2000000,total,1.048,1.000
Win-Clang-16.0.5,STC,unordered_map n:2000000,insert,0.104,0.356
Win-Clang-16.0.5,STC,unordered_map n:2000000,erase,0.032,0.123
Win-Clang-16.0.5,STC,unordered_map n:2000000,access,0.028,0.373
Win-Clang-16.0.5,STC,unordered_map n:2000000,iter,0.023,0.075
Win-Clang-16.0.5,STC,unordered_map n:2000000,destruct,0.002,0.018
Win-Clang-16.0.5,STC,unordered_map n:2000000,total,0.189,0.180
Win-Clang-16.0.5,std,map n:1000000,insert,0.184,1.000
Win-Clang-16.0.5,std,map n:1000000,erase,0.154,1.000
Win-Clang-16.0.5,std,map n:1000000,access,0.227,1.000
Win-Clang-16.0.5,std,map n:1000000,iter,0.131,1.000
Win-Clang-16.0.5,std,map n:1000000,destruct,0.049,1.000
Win-Clang-16.0.5,std,map n:1000000,total,0.745,1.000
Win-Clang-16.0.5,STC,map n:1000000,insert,0.243,1.321
Win-Clang-16.0.5,STC,map n:1000000,erase,0.183,1.188
Win-Clang-16.0.5,STC,map n:1000000,access,0.182,0.802
Win-Clang-16.0.5,STC,map n:1000000,iter,0.022,0.168
Win-Clang-16.0.5,STC,map n:1000000,destruct,0.001,0.020
Win-Clang-16.0.5,STC,map n:1000000,total,0.631,0.847
Win-Clang-16.0.5,std,vector n:60000000,insert,0.189,1.000
Win-Clang-16.0.5,std,vector n:60000000,erase,0.000,1.000
